timestamp,velocity_m_s,pressure_bar,power_W,position_deg
1748353366.111664,61.17861674972651,1.1277,68.99112610866658,203.0
1748353366.120729,61.17861674972651,1.1277,68.99112610866658,203.0
1748353366.1307466,61.17861674972651,1.1277,68.99112610866658,203.0
1748353366.1411822,61.17861674972651,1.1277,68.99112610866658,203.0
1748353366.1511855,61.17861674972651,1.1277,68.99112610866658,203.0
1748353366.161637,61.17861674972651,1.1277,68.99112610866658,203.0
1748353366.1707358,61.17861674972651,1.1277,68.99112610866658,203.0
1748353366.1809485,61.17861674972651,1.1277,68.99112610866658,203.0
1748353366.191177,61.17861674972651,1.1277,68.99112610866658,203.0
1748353366.2006493,61.17861674972651,1.1277,68.99112610866658,203.0
1748353366.2106678,48.679278568278356,1.092,53.15777219655997,208.0
1748353366.2206402,48.679278568278356,1.092,53.15777219655997,208.0
1748353366.2305684,48.679278568278356,1.092,53.15777219655997,208.0
1748353366.240534,48.679278568278356,1.092,53.15777219655997,208.0
1748353366.2505064,48.679278568278356,1.092,53.15777219655997,208.0
1748353366.2604792,48.679278568278356,1.092,53.15777219655997,208.0
1748353366.2704966,48.679278568278356,1.092,53.15777219655997,208.0
1748353366.2804675,48.679278568278356,1.092,53.15777219655997,208.0
1748353366.2904434,48.679278568278356,1.092,53.15777219655997,208.0
1748353366.3010921,48.679278568278356,1.092,53.15777219655997,208.0
1748353366.3109655,39.47533793720074,1.0801000000000003,42.637312505970534,212.0
1748353366.3209755,39.47533793720074,1.0801000000000003,42.637312505970534,212.0
1748353366.3309388,39.47533793720074,1.0801000000000003,42.637312505970534,212.0
1748353366.3409252,39.47533793720074,1.0801000000000003,42.637312505970534,212.0
1748353366.3509068,39.47533793720074,1.0801000000000003,42.637312505970534,212.0
1748353366.3608868,39.47533793720074,1.0801000000000003,42.637312505970534,212.0
1748353366.3708186,39.47533793720074,1.0801000000000003,42.637312505970534,212.0
1748353366.3807802,39.47533793720074,1.0801000000000003,42.637312505970534,212.0
1748353366.3907537,39.47533793720074,1.0801000000000003,42.637312505970534,212.0
1748353366.4007263,39.47533793720074,1.0801000000000003,42.637312505970534,212.0
1748353366.4107096,0.0,1.0801000000000003,0.0,212.0
1748353366.4206715,0.0,1.0801000000000003,0.0,212.0
1748353366.4306445,0.0,1.0801000000000003,0.0,212.0
1748353366.440618,0.0,1.0801000000000003,0.0,212.0
1748353366.4505928,0.0,1.0801000000000003,0.0,212.0
1748353366.460566,0.0,1.0801000000000003,0.0,212.0
1748353366.4705377,0.0,1.0801000000000003,0.0,212.0
1748353366.4810174,0.0,1.0801000000000003,0.0,212.0
1748353366.5440195,-25.567437305189923,1.092,27.9196415372674,209.0
1748353366.5509741,-25.567437305189923,1.092,27.9196415372674,209.0
1748353366.560949,-25.567437305189923,1.092,27.9196415372674,209.0
1748353366.570921,-25.567437305189923,1.092,27.9196415372674,209.0
1748353366.5808957,-25.567437305189923,1.092,27.9196415372674,209.0
1748353366.5908678,-25.567437305189923,1.092,27.9196415372674,209.0
1748353366.60085,-25.567437305189923,1.092,27.9196415372674,209.0
1748353366.6108146,-25.567437305189923,1.092,27.9196415372674,209.0
1748353366.6207886,-68.36347040894496,1.1277,77.09348558016723,203.0
1748353366.63076,-68.36347040894496,1.1277,77.09348558016723,203.0
1748353366.640734,-68.36347040894496,1.1277,77.09348558016723,203.0
1748353366.6507072,-68.36347040894496,1.1277,77.09348558016723,203.0
1748353366.6606812,-68.36347040894496,1.1277,77.09348558016723,203.0
1748353366.670681,-68.36347040894496,1.1277,77.09348558016723,203.0
1748353366.68063,-68.36347040894496,1.1277,77.09348558016723,203.0
1748353366.6906016,-68.36347040894496,1.1277,77.09348558016723,203.0
1748353366.7005727,-68.36347040894496,1.1277,77.09348558016723,203.0
1748353366.7105505,-71.62072405894536,1.1633999999999998,83.32355037017702,196.0
1748353366.7205772,-71.62072405894536,1.1633999999999998,83.32355037017702,196.0
1748353366.7304926,-71.62072405894536,1.1633999999999998,83.32355037017702,196.0
